Orgao;Valor Pago
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;157.631.362,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;18.727,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;56.750.166,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;2.038.613.874,00
CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                        ;65.822.408,00
DISTRIBUIDORA DE FILMES S.A. - RIOFILME                                                   ;5.503.108,00
DISTRIBUIDORA DE FILMES S/A - RIOFILME                                                    ;0,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;55.640.059,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS S.A.                                                  ;10.485.096,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A.                                                     ;98.873.966,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;29.151.728,00
EMPRESA PÚBLICA DE SAÚDE DO RIO DE JANEIRO S/A                                            ;1.588.733.196,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;4.120.091.959,00
FUNDAÇÃO CIDADE DAS ARTES                                                                 ;12.746.029,00
FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO                               ;119.063.990,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;93.491.013,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;3.276.694,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;11.033.956,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;8.088.463,00
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR                                                  ;249.098.171,00
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;7.444.662,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;1.000,00
FUNDO DE MOBILIDADE URBANA SUSTENTÁVEL                                                    ;1.271.744,00
FUNDO DE PROTEÇÃO ANIMAL                                                                  ;11.000,00
FUNDO EMERGENCIAL DE COMBATE À COVID-19                                                   ;1.000,00
FUNDO ESPECIAL DA DÍVIDA ATIVA                                                            ;1.000,00
FUNDO ESPECIAL DE ILUMINAÇÃO PÚBLICA                                                      ;291.930.503,00
FUNDO ESPECIAL DE ORDEM PÚBLICA                                                           ;75.536.571,00
FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                              ;5.803.498.576,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;78.931,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;4.524,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;152.172.920,00
FUNDO MUNICIPAL DE CULTURA                                                                ;3.000,00
FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO                                                 ;8.478.699,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;39.123.359,00
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;1.002.000,00
FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR                                        ;2.826.006,00
FUNDO MUNICIPAL DE SANEAMENTO BÁSICO                                                      ;3.000,00
FUNDO MUNICIPAL DE SOLIDARIEDADE                                                          ;3.000,00
FUNDO MUNICIPAL DO IDOSO                                                                  ;512.479,00
FUNDO MUNICIPAL DO TRABALHO                                                               ;443.577,00
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;2.813.505,00
FUNDO MUNICIPAL PARA OS ESPORTES                                                          ;103.000,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;22.147.132,00
GABINETE DO PREFEITO                                                                      ;74.001.204,00
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;580.306.842,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;83.858.863,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;3.474.150,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOSLTDA                                            ;21.998.138,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;359.067.802,00
RESERVA DE CONTINGÊNCIA                                                                   ;47.000.000,00
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;11.483.989,00
RIOCENTRO S/A - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO               ;0,00
SECRETARIA DE POLÍTICAS E PROMOÇÃO DA MULHER                                              ;0,00
SECRETARIA ESPECIAL DA JUVENTUDE CARIOCA                                                  ;0,00
SECRETARIA ESPECIAL DE AÇÃO COMUNITÁRIA                                                   ;0,00
SECRETARIA ESPECIAL DE CIDADANIA                                                          ;0,00
SECRETARIA ESPECIAL DE TURISMO E LEGADO OLÍMPICO                                          ;0,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;291.282.445,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA                                            ;48.864.640,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA E TECNOLOGIA                               ;0,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                ;280.361.665,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL E DIREITOS HUMANOS                             ;4.608.261,00
SECRETARIA MUNICIPAL DE CIÊNCIA E TECNOLOGIA                                              ;0,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO                                                       ;0,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS                                   ;0,00
SECRETARIA MUNICIPAL DE CULTURA                                                           ;107.331.844,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONÔMICO, INOVAÇÃO E SIMPLIFICAÇÃO               ;0,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO, EMPREGO E INOVAÇÃO                               ;0,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;7.033.569.224,00
SECRETARIA MUNICIPAL DE ESPORTES                                                          ;0,00
SECRETARIA MUNICIPAL DE ESPORTES E LAZER                                                  ;0,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;0,00
SECRETARIA MUNICIPAL DE FAZENDA E PLANEJAMENTO                                            ;413.769.311,00
SECRETARIA MUNICIPAL DE GOVERNO E INTEGRIDADE PÚBLICA                                     ;0,00
