Orgao;Valor Pago
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;211.279.787,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;57.159,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;43.286.339,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;1.911.258.043,00
CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                        ;59.721.621,00
DISTRIBUIDORA DE FILMES S.A. - RIOFILME                                                   ;6.095.332,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;42.914.719,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS S.A.                                                  ;12.372.996,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A.                                                     ;94.697.033,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;30.003.184,00
EMPRESA OLÍMPICA MUNICIPAL S.A. (EM LIQUIDAÇÃO)                                           ;201.882,00
EMPRESA OLÍMPICA MUNICIPAL S.A.(EM LIQUIDAÇÃO)                                            ;0,00
EMPRESA PÚBLICA DE SAÚDE DO RIO DE JANEIRO S/A                                            ;139.718.696,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;4.102.307.758,00
FUNDAÇÃO CIDADE DAS ARTES                                                                 ;13.320.999,00
FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO                               ;283.161.605,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;279.150.435,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;4.720.652,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;18.188.987,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;7.983.686,00
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR;219.470.500,00
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;6.973.560,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;7.501.000,00
FUNDO DE MOBILIZAÇÃO DO ESPORTE OLÍMPICO                                                  ;0,00
FUNDO DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                                       ;0,00
FUNDO ESPECIAL DE ILUMINAÇÃO PÚBLICA                                                      ;291.872.834,00
FUNDO ESPECIAL DE ORDEM PÚBLICA                                                           ;97.589.472,00
FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                              ;4.989.752.256,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;101.157,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;7.996,00
FUNDO MUNICIPAL DE AMPARO À PESQUISA DO MUNICÍPIO DO RIO DE JANEIRO                       ;3.002.000,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;143.660.354,00
FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO                                                 ;3.000,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;230.529.195,00
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;6.364.254,00
FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR                                        ;2.789.133,00
FUNDO MUNICIPAL DO IDOSO                                                                  ;273.015,00
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;744.954,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;50.428.483,00
GABINETE DO PREFEITO                                                                      ;37.645.280,00
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;536.034.263,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;95.812.170,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;6.123.710,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA.                                          ;27.918.778,00
