Orgao;Valor Pago
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;89.487.800,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;175.000,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;53.474.308,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;764.374.683,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA - COMLURB                                           ;0,00
CONTROLADORIA GERAL DO MUNICÍPIO                                                          ;0,00
CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                        ;31.282.460,00
DISTRIBUIDORA DE FILMES S.A.                                                              ;5.523.634,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;59.417.665,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS                                                       ;10.454.960,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A. - IPLANRIO                                          ;104.019.850,00
EMPRESA MUNICIPAL DE MULTIMEIOS LTDA.                                                     ;24.644.784,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;0,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIOURBE                                                ;22.630.902,00
EMPRESA MUNICIPAL DE VIGILÂNCIA                                                           ;199.373.898,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;1.895.590.725,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;6.969.923,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;13.716.333,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;24.420.945,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;6.015.323,00
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR                                                  ;77.715.000,00
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;4.821.937,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;17.636,00
FUNDO DE MOBILIZAÇÃO DO ESPORTE OLÍMPICO                                                  ;111.000,00
FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                              ;2.104.748.000,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;225.246,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;18.793,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;44.884.920,00
FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO                                                 ;69.118,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;2.972.028,00
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;4.178.775,00
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;1.420.488,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;19.926.660,00
GABINETE DO PREFEITO                                                                      ;0,00
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;0,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;163.343.885,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;4.606.950,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA.                                          ;0,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;75.520.730,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO - PGM                                   ;0,00
