Orgao;Valor Pago
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;243.558.557,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;75.846,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;44.629.946,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;1.914.042.631,00
CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                        ;61.194.686,00
DISTRIBUIDORA DE FILMES S.A. - RIOFILME                                                   ;11.811.870,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;60.485.204,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS S.A.                                                  ;0,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS S/A                                                   ;16.914.450,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A.                                                     ;132.021.287,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;33.851.941,00
EMPRESA OLÍMPICA MUNICIPAL S.A.(EM LIQUIDAÇÃO)                                            ;0,00
EMPRESA OLÍMPICA MUNICIPAL S/A                                                            ;0,00
EMPRESA PÚBLICA DE SAÚDE DO RIO DE JANEIRO S/A                                            ;126.485.161,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;3.431.480.525,00
FUNDAÇÃO CIDADE DAS ARTES                                                                 ;14.279.486,00
FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO                               ;452.786.573,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;162.041.869,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;5.433.955,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;16.705.210,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;10.819.391,00
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR                                                  ;198.604.000,00
