Fonte;Valor Previsto;Valor Arrecadado
100 - ORDINARIOS NAO VINCULADOS                                                                 ;18564353754;16135435348,04
101 - ORDINARIOS NAO VINCULADOS - CONTRAPARTIDA DE OPERACOES DE CREDITO                         ;49019;20822,25
103 - INCENTIVO A CULTURA                                                                       ;54699289;51835385,37
104 - ORDINARIOS NAO VINCULADOS - ALIENACAO DE BENS                                             ;21431463;14711199,71
105 - DOACOES                                                                                   ;324331;6596383,13
106 - LICENCIAMENTO DE GRUPAMENTO DE EDIFICACOES                                                ;13367870;8221903,95
107 - SALARIO EDUCACAO                                                                          ;422277448;368036761,46
108 - CONVENIO REALIZADO                                                                        ;156474775;33245440,52
109 - MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO                                              ;305281116;116826005,37
110 - OPERACOES DE CREDITO CONTRATUAIS REALIZADAS                                               ;268028631;65240928,78
112 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR                                               ;73727121;0
113 - OUTRAS                                                                                    ;56418640;99123949,36
114 - PROGRAMA DINHEIRO DIRETO NA ESCOLA - TRANSFERENCIA DO GOVERNO FEDERAL PARA EDUCACAO       ;25000000;17377584,4
115 - TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR                                     ;82719102;93348924,49
116 - PROJOVEM URBANO -  TRANSFERENCIA DO GOVERNO FEDERAL PARA A EDUCACAO                       ;306494;87244,65
118 - CONVENIOS A REALIZAR                                                                      ;53492582;0
119 - ORDINARIOS NAO VINCULADOS - RECEITAS DE IMPOSTOS E DE TRANSFERENCIA DE IMPOSTOS - SAUDE   ;0;0
120 - INSPECAO SANITARIA                                                                        ;36864918;41712436,02
123 - RECURSOS ENFRENTAMENTO A COVID-19 - SAUDE E ASSISTENCIA SOCIAL - ART. 5IB LC 173/2020  ;0;97449427,39
140 - CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE                                   ;3191109;2022199,97
141 - ROYALTIES DO PETROLEO                                                                     ;375424608;447657369,24
142 - FUNDEB                                                                                    ;2770609857;2706714730,19
143 - HONORARIOS ADVOCATICIOS                                                                   ;74434670;124473794,81
144 - MULTAS POR INFRACAO A LEGISLACAO DO MEIO AMBIENTE                                         ;6145440;2596974,51
145 - MULTAS POR INFRACAO A LEGISLACAO URBANISTICA                                              ;0;0
146 - CONTRAPARTIDA - REGULARIZACAO DE OBRAS                                                    ;202183987;173373749,74
147 - CONTRAPARTIDA - OPERACOES INTERLIGADAS                                                    ;0;0
148 - RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES                                          ;35286;3097,91
150 - COSIP                                                                                     ;412300761;297506389,85
151 - CONTRAPARTIDA PEU DAS VARGENS E OUTRAS - LC 104/2009                                      ;5389;1117,42
152 - CONTRAPARTIDA AREA DE ESPECIAL INTERESSE URBANISTICO - AEIU - PORTO - DECRETO 35491/2012  ;16898;856,8
153 - CONTRAPARTIDA AREA DE ESPECIAL INTERESSE URBANISTICO - PORTO - LEI COMPLEMENTAR 123/2012  ;0;0
154 - CONTRAPARTIDA - AEIU - ENGENHO DE DENTRO - DECRETO - 37961/2013                           ;0;0
180 - ATENCAO BASICA                                                                            ;0;0
181 - ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR                            ;0;0
182 - VIGILANCIA EM SAUDE                                                                       ;0;0
183 - ASSISTENCIA FARMACEUTICA                                                                  ;0;0
184 - GESTAO DO SUS                                                                             ;0;0
185 - INVESTIMENTOS NA REDE DE SERVICOS DE SAUDE                                                ;310451;12202719,89
186 - COBERTURA SECURITARIA DE ENTIDADE PRIVADA                                                 ;0;0
188 - RECURSOS SUS DESTINADOS AO ENFRENTAMENTO DA COVID-19 - CUSTEIO                            ;0;211516679,35
192 - TRANSFERENCIA POR CONDENACAO EM ACOES/PENALIZACAO AO ESTATUTO DA CRIANCA E DO ADOLESCENTE ;0;0
193 - TRANSFERENCIA DO FUNDO NACIONAL E ESTADUAL DE ASSISTENCIA SOCIAL                          ;60371029;81202811,52
194 - TRANSFERENCIAS DO FUNDO NACIONAL DE SAUDE - CUSTEIO                                       ;1558101926;1728783352,86
195 - MULTAS POR INFRACAO A LEGISLACAO DE SAUDE                                                 ;16313995;12625044,09
196 - TRANSFERENCIAS DO FUNDO ESTADUAL DE SAUDE - COFINANCIAMENTO                               ;77387880;446685470,13
197 - TRANSFERENCIA DA CMRJ PARA EDUCACAO E SAUDE                                               ;0;43307,89
198 - TRANSFERENCIAS DO FUNDO ESTADUAL DE SAUDE                                                 ;15889872;0
199 - FECMRJ                                                                                    ;11629326;25074464,54
200 - RECEITA PROPRIA DE AUTARQUIAS FUNDACOES E EMPRESAS                                       ;379590294;256903627,81
204 - ALIENACAO DE BENS                                                                         ;175628156;183928552,1
208 - CONVENIOS                                                                                 ;345545316;949492653,03
214 - FUNDO ESPECIAL DE PREVIDENCIA DO MUNICIPIO DO RIO DE JANEIRO                              ;5725125760;4434695075,6
218 - CONVENIOS A REALIZAR                                                                      ;226396706;0
265 - CONTRIBUICAO PREVIDENCIARIA SUPLEMENTAR                                                   ;0;0
268 - FUNDO DE ASSISTENCIA A SAUDE DO SERVIDOR                                                  ;249092915;248353155,53
270 - CONTRIBUICAO PREVIDENCIARIA                                                               ;0;0
