Fonte;Valor Previsto;Valor Arrecadado
100 - ORDINARIOS NAO VINCULADOS                                                                 ;15362116162;14573228909,06
101 - ORDINARIOS NAO VINCULADOS - CONTRAPARTIDA DE OPERACOES DE CREDITO                         ;0;349321,43
103 - INCENTIVO A CULTURA                                                                       ;52338862;45807230,73
105 - DOACOES                                                                                   ;0;1863280,37
106 - LICENCIAMENTO DE GRUPAMENTO DE EDIFICACOES                                                ;20800618;49224554,66
107 - SALARIO EDUCACAO                                                                          ;366278561;463162799,8
108 - CONVENIO REALIZADO                                                                        ;1543690393;837269758,16
109 - MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO                                              ;189822150;187138696,38
110 - OPERACOES DE CREDITO CONTRATUAIS REALIZADAS                                               ;2073358777;1911268261,68
112 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR                                               ;357160143;0
113 - OUTRAS                                                                                    ;52836018;67314405,59
114 - PROGRAMA DINHEIRO DIRETO NA ESCOLA - TRANSFERENCIA DO GOVERNO FEDERAL PARA EDUCACAO       ;38698427;11446428,74
115 - TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR                                     ;78943344;69552723,79
116 - PROJOVEM URBANO -  TRANSFERENCIA DO GOVERNO FEDERAL PARA A EDUCACAO                       ;1851271;777958,45
118 - CONVENIOS A REALIZAR                                                                      ;708307624;0
120 - INSPECAO SANITARIA                                                                        ;19653686;22260583,34
140 - CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE                                   ;270193;1610421,56
141 - ROYALTIES DO PETROLEO                                                                     ;263646411;222159876,6
142 - FUNDEB                                                                                    ;2373096592;2209197361,96
143 - HONORARIOS ADVOCATICIOS                                                                   ;25548778;43047393,51
144 - MULTAS POR INFRACAO A LEGISLACAO DO MEIO AMBIENTE                                         ;5645743;6758202,32
146 - CONTRAPARTIDA - REGULARIZACAO DE OBRAS                                                    ;101256709;149514201,39
147 - CONTRAPARTIDA - OPERACOES INTERLIGADAS                                                    ;200000000;44,16
148 - RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES                                          ;30191;37722,41
150 - COSIP                                                                                     ;254922247;258597491,64
151 - CONTRAPARTIDA PEU DAS VARGENS E OUTRAS - LC 104/2009                                      ;18741744;10405292,49
152 - CONTRAPARTIDA AREA DE ESPECIAL INTERESSE URBANISTICO - AEIU - PORTO - DECRETO 35491/2012  ;0;759495,72
180 - ATENCAO BASICA                                                                            ;342043914;325308820,78
181 - ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR                            ;1159469500;980645409,49
182 - VIGILANCIA EM SAUDE                                                                       ;56522914;52159315,43
183 - ASSISTENCIA FARMACEUTICA                                                                  ;53383927;39342456,25
184 - GESTAO DO SUS                                                                             ;2217133;252059,24
185 - INVESTIMENTOS NA REDE DE SERVICOS DE SAUDE                                                ;0;5644389,99
193 - TRANSFERENCIA DO FUNDO NACIONAL E ESTADUAL DE ASSISTENCIA SOCIAL                          ;41046505;43118020,28
194 - SISTEMA UNICO DE SAUDE                                                                    ;0;3076,41
195 - MULTAS POR INFRACAO A LEGISLACAO DE SAUDE                                                 ;12681270;9427856,56
199 - FECMRJ                                                                                    ;7219650;35413581,96
200 - RECEITA PROPRIA DE AUTARQUIAS FUNDACOES E EMPRESAS                                       ;1322816967;596591540,96
208 - CONVENIOS                                                                                 ;400000;58671621,43
218 - CONVENIOS A REALIZAR                                                                      ;16100000;0
265 - CONTRIBUICAO PREVIDENCIARIA SUPLEMENTAR                                                   ;1406345000;1405805223,92
267 - CONTRIBUICAO PREVIDENCIARIA - ADMITIDOS ATE  15/12/1998                                   ;0;0
268 - FUNDO DE ASSISTENCIA A SAUDE DO SERVIDOR                                                  ;190676568;206676829,59
269 - RETORNO DE EMPRESTIMOS CONCEDIDOS A SERVIDORES                                            ;64250860;85241279,26
270 - CONTRIBUICAO PREVIDENCIARIA                                                               ;1405239900;1401428029,15
