Fonte;Valor Previsto;Valor Arrecadado
100 - ORDINARIOS NAO VINCULADOS                                                                 ;8320027954;9154237603,63
101 - ORDINARIOS NAO VINCULADOS - CONTRAPARTIDA DE OPERACOES DE CREDITO                         ;0;156173,3
103 - INCENTIVO A CULTURA                                                                       ;11466041;11311963,11
105 - DOACOES                                                                                   ;0;235467,71
106 - LICENCIAMENTO DE GRUPAMENTO DE EDIFICACOES                                                ;10590949;42138985,83
107 - SALARIO EDUCACAO                                                                          ;184673848;206780232,71
108 - CONVENIO REALIZADO                                                                        ;341426017;264278259,54
109 - MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO                                              ;107899468;130517627,38
110 - OPERACOES DE CREDITO CONTRATUAIS REALIZADAS                                               ;192263225;1005839070,99
112 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR                                               ;117063058;0
113 - OUTRAS                                                                                    ;27698294;77207641,31
114 - PROGRAMA DINHEIRO DIRETO NA ESCOLA - TRANSFERENCIA DO GOVERNO FEDERAL PARA EDUCACAO       ;13571238;19901183,89
115 - TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR                                     ;34804997;54724215,41
118 - CONVENIOS A REALIZAR                                                                      ;93928282;0
120 - INSPECAO SANITARIA                                                                        ;11399200;12586463,92
132 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR - CONTRAPARTIDA                               ;35226217;0
138 - CONVENIOS A REALIZAR - CONTRAPARTIDA                                                      ;5500;0
140 - CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE                                   ;5453967;6535505,28
141 - ROYALTIES DO PETROLEO                                                                     ;138574692;152244184,23
142 - FUNDEB                                                                                    ;1205859368;1343500048,46
143 - HONORARIOS ADVOCATICIOS                                                                   ;14799064;17238948,26
144 - MULTAS POR INFRACAO A LEGISLACAO DO MEIO AMBIENTE                                         ;2510782;3307036
146 - CONTRAPARTIDA - REGULARIZACAO DE OBRAS                                                    ;1877157;65877180,86
148 - RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES                                          ;14771;17274,22
150 - COSIP                                                                                     ;0;79293790,25
193 - TRANSFERENCIA DO FUNDO NACIONAL E ESTADUAL DE ASSISTENCIA SOCIAL                          ;32023329;26151817,3
194 - SISTEMA UNICO DE SAUDE                                                                    ;926063517;1051118323,94
195 - MULTAS POR INFRACAO A LEGISLACAO DE SAUDE                                                 ;0;5125158,97
199 - FECMRJ                                                                                    ;0;6078818,8
200 - RECEITA PROPRIA DE AUTARQUIAS FUNDACOES E EMPRESAS                                       ;721888848;525018275,93
208 - CONVENIOS                                                                                 ;0;4857159,82
266 - CONTRIBUICAO PREVIDENCIARIA - ADMITIDOS APOS 15/12/1998                                   ;316269000;300299969,8
267 - CONTRIBUICAO PREVIDENCIARIA - ADMITIDOS ATE 15/12/1998                                    ;521187000;486473898,72
268 - FUNDO DE ASSISTENCIA A SAUDE DO SERVIDOR                                                  ;90103750;85208625,7
269 - RETORNO DE EMPRESTIMOS CONCEDIDOS A SERVIDORES                                            ;121509000;104965010,91
