Fonte;Valor Previsto;Valor Arrecadado
100 - ORDINARIOS NAO VINCULADOS                                                                 ;6807858215;6845033563,86
103 - INCENTIVO A CULTURA                                                                       ;8363166;7709107,77
105 - DOACOES                                                                                   ;0;242764,87
106 - LICENCIAMENTO DE GRUPAMENTO DE EDIFICACOES                                                ;2530000;22459819,87
107 - SALARIO EDUCACAO                                                                          ;198701784;164990226,53
108 - CONVENIOS                                                                                 ;170758312;134332113,62
109 - MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO                                              ;81479501;78061918,37
110 - OPERACOES DE CREDITO CONTRATUAIS REALIZADAS                                               ;105063400;49874177,89
112 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR                                               ;92318500;0
113 - OUTRAS                                                                                    ;13962901;38951032,28
114 - PROGRAMA DINHEIRO DIRETO NA ESCOLA - TRANSFERENCIA DO GOVERNO FEDERAL PARA EDUCACAO       ;6770713;7923302,39
115 - TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR                                     ;33603349;32235877,29
140 - CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE                                   ;6207565;5750794,89
141 - ROYALTIES DO PETROLEO                                                                     ;166932533;182756252,04
142 - FUNDEB                                                                                    ;894262831;1029494257,46
143 - HONORARIOS ADVOCATICIOS                                                                   ;11404443;15500379,49
144 - MULTAS POR INFRACAO A LEGISLACAO DO MEIO AMBIENTE                                         ;653585;2785775
146 - CONTRAPARTIDA - REGULARIZACAO DE OBRAS                                                    ;2008397;2513944,25
147 - CONTRAPARTIDA - OPERACOES INTERLIGADAS                                                    ;0;30
148 - RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES                                          ;10400;17491,3
193 - TRANSFERENCIA DO FUNDO NACIONAL E ESTADUAL DE ASSISTENCIA SOCIAL                          ;20177026;24177575,29
194 - PRESTACAO DE SERVICOS MEDICOS                                                             ;868772461;844281337,89
200 - RECEITA PROPRIA DE AUTARQUIAS FUNDACOES E EMPRESAS                                       ;612144521;606790820,21
205 - DOACOES                                                                                   ;0;1084,85
208 - CONVENIOS                                                                                 ;0;830755,24
266 - CONTRIBUICAO PARA SEGURIDADE SOCIAL - PARAG UNICO ART 2 DEC 28246/07                    ;209669000;208918819,13
267 - CONTRIBUICAO PARA SEGURIDADE SOCIAL - PARAG 1 ART 1 DEC 28246/07                        ;443091000;469032851,28
268 - FUNDO DE ASSISTENCIA A SAUDE DO SERVIDOR                                                  ;78180000;78303304,44
269 - RETORNO DE EMPRESTIMOS CONCEDIDOS A SERVIDORES                                            ;68900000;102742291,32
