Orgao;Valor Pago
CENTRO DE OPERAÇÕES E RESILIÊNCIA                                                         ;12.180.749,00
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;241.260.019,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;44.619,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;49.724.627,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;1.937.016.348,00
CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                        ;58.980.205,00
DISTRIBUIDORA DE FILMES S.A. - RIOFILME                                                   ;6.626.100,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;53.043.686,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS S.A.                                                  ;11.439.039,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A.                                                     ;91.111.634,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;180.040.886,00
EMPRESA OLÍMPICA MUNICIPAL S.A. (EM LIQUIDAÇÃO)                                           ;30.750,00
EMPRESA PÚBLICA DE SAÚDE DO RIO DE JANEIRO S/A                                            ;256.932.845,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;4.872.851.684,00
FUNDAÇÃO CIDADE DAS ARTES                                                                 ;13.379.779,00
FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO                               ;186.380.402,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;73.683.983,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;4.146.250,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;13.561.833,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;7.568.098,00
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR                                                  ;223.399.834,00
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;5.960.228,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;7.501.000,00
FUNDO DE PROTEÇÃO ANIMAL                                                                  ;4.000,00
FUNDO ESPECIAL DE ILUMINAÇÃO PÚBLICA                                                      ;325.799.302,00
FUNDO ESPECIAL DE ORDEM PÚBLICA                                                           ;122.940.885,00
FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                              ;5.603.387.721,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;110.496,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;5.984,00
FUNDO MUNICIPAL DE AMPARO À PESQUISA DO MUNICÍPIO DO RIO DE JANEIRO                       ;3.000.000,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;105.129.557,00
FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO                                                 ;16.617.796,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;174.228.912,00
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;1.554.858,00
FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR                                        ;2.191.603,00
FUNDO MUNICIPAL DO IDOSO                                                                  ;250.568,00
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;738.242,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;30.651.692,00
GABINETE DO PREFEITO                                                                      ;34.400.600,00
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;544.567.591,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;97.550.538,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;10.136.745,00
INSTITUTO RIO PATRIMÔNIO DA HUMANIDADE                                                    ;1.013.061,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA.                                          ;24.317.268,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;234.455.559,00
RESERVA DE CONTINGÊNCIA                                                                   ;50.000.000,00
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;8.427.627,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;424.448.387,00
