Orgao;Valor Pago
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;239.353.359,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;18.727,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;74.272.786,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;2.364.894.567,00
CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                        ;76.001.854,00
DISTRIBUIDORA DE FILMES S.A. - RIOFILME                                                   ;0,00
DISTRIBUIDORA DE FILMES S/A - RIOFILME                                                    ;35.029.261,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;123.008.456,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS S.A.                                                  ;8.935.471,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A.                                                     ;147.044.557,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;27.864.262,00
EMPRESA PÚBLICA DE SAÚDE DO RIO DE JANEIRO S/A                                            ;1.351.596.043,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;5.445.430.190,00
FUNDAÇÃO CIDADE DAS ARTES                                                                 ;19.550.130,00
FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO                               ;149.937.213,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;119.855.243,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;2.227.194,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;86.178.275,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;13.618.850,00
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR                                                  ;264.548.631,00
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;8.997.507,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;1.000,00
FUNDO DE MOBILIDADE URBANA SUSTENTÁVEL                                                    ;109.600.000,00
FUNDO DE PROTEÇÃO ANIMAL                                                                  ;1.000,00
FUNDO EMERGENCIAL DE COMBATE À COVID-19                                                   ;65.958,00
FUNDO ESPECIAL DA DÍVIDA ATIVA                                                            ;1.000,00
FUNDO ESPECIAL DE ILUMINAÇÃO PÚBLICA                                                      ;293.538.581,00
