Fonte;Valor Previsto;Valor Arrecadado
100 - ORDINARIOS NAO VINCULADOS                                                                 ;7389623241;7535485930,09
101 - ORDINARIOS NAO VINCULADOS - CONTRAPARTIDA DE OPERACOES DE CREDITO                         ;0;149660,65
103 - INCENTIVO A CULTURA                                                                       ;9727632;6576041,39
105 - DOACOES                                                                                   ;0;215150,35
106 - LICENCIAMENTO DE GRUPAMENTO DE EDIFICACOES                                                ;19820050;26191485,56
107 - SALARIO EDUCACAO                                                                          ;179047035;178866752,54
108 - CONVENIOS                                                                                 ;189370794;123769215,63
109 - MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO                                              ;82899376;108395649,38
110 - OPERACOES DE CREDITO CONTRATUAIS REALIZADAS                                               ;188728998;30590794,84
112 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR                                               ;66939000;0
113 - OUTRAS                                                                                    ;47815312;16248794,63
114 - PROGRAMA DINHEIRO DIRETO NA ESCOLA - TRANSFERENCIA DO GOVERNO FEDERAL PARA EDUCACAO       ;5960653;16898312,43
115 - TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR                                     ;34453302;31447495,48
140 - CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE                                   ;6804092;3602695,36
141 - ROYALTIES DO PETROLEO                                                                     ;193869244;128622192,29
142 - FUNDEB                                                                                    ;1152379084;1125855687,96
143 - HONORARIOS ADVOCATICIOS                                                                   ;11801472;12190522,22
144 - MULTAS POR INFRACAO A LEGISLACAO DO MEIO AMBIENTE                                         ;2469659;2728452,39
146 - CONTRAPARTIDA - REGULARIZACAO DE OBRAS                                                    ;2335234;17441497,81
148 - RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES                                          ;17636;15774,11
193 - TRANSFERENCIA DO FUNDO NACIONAL E ESTADUAL DE ASSISTENCIA SOCIAL                          ;23011417;26708746,25
194 - PRESTACAO DE SERVICOS MEDICOS                                                             ;876927395;895374923,04
200 - RECEITA PROPRIA DE AUTARQUIAS FUNDACOES E EMPRESAS                                       ;546541800;481508612,37
205 - DOACOES                                                                                   ;1723;0
208 - CONVENIOS                                                                                 ;252016;694823,28
266 - CONTRIBUICAO PREVIDENCIARIA - ADMITIDOS APOS 15/12/1998                                   ;387207000;237816667,15
267 - CONTRIBUICAO PREVIDENCIARIA - ADMITIDOS ATE 15/12/1998                                    ;520716000;473285356,83
268 - FUNDO DE ASSISTENCIA A SAUDE DO SERVIDOR                                                  ;77715000;82964011,32
269 - RETORNO DE EMPRESTIMOS CONCEDIDOS A SERVIDORES                                            ;80300000;103536311,17
