Orgao;Valor Pago
COMPANHIA DE ENGENHARIA DE TRÁFEGO                                                        ;0,00
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;187.665.285,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;324.772,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;42.250.127,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;991.259.220,00
CONTROLADORIA GERAL DO MUNICÍPIO                                                          ;0,00
CONTROLADORIA GERAL DO MUNICÍPIO DO MUNICÍPIO DO RIO DE JANEIRO                           ;39.840.968,00
DISTRIBUIDORA DE FILMES S.A.                                                              ;27.720.215,00
DISTRIBUIDORA DE FILMES S/A                                                               ;0,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;54.709.169,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS                                                       ;12.399.115,00
EMPRESA MUNICIPAL DE INFORMÁTICA - IPLANRIO                                               ;0,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A. - IPLANRIO                                          ;101.323.178,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;135.673.421,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIOURBE                                                ;0,00
EMPRESA OLÍMPICA MUNICIPAL S.A.                                                           ;0,00
EMPRESA OLÍMPICA MUNICIPAL S/A                                                            ;10.006.584,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;1.871.569.042,00
FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO                               ;577.639.127,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;86.025.457,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;14.775.116,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;45.591.354,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;8.292.333,00
