Fonte;Valor Previsto;Valor Arrecadado
100 - ORDINARIOS NAO VINCULADOS                                                                 ;11820476745;11737254890,42
101 - ORDINARIOS NAO VINCULADOS - CONTRAPARTIDA DE OPERACOES DE CREDITO                         ;0;169849,17
103 - INCENTIVO A CULTURA                                                                       ;14796125;26299715,93
105 - DOACOES                                                                                   ;0;254160,46
106 - LICENCIAMENTO DE GRUPAMENTO DE EDIFICACOES                                                ;20555466;15222322,44
107 - SALARIO EDUCACAO                                                                          ;268020041;285788570,26
108 - CONVENIO REALIZADO                                                                        ;232911689;168929234,2
109 - MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO                                              ;135352832;175963080,22
110 - OPERACOES DE CREDITO CONTRATUAIS REALIZADAS                                               ;808158952;461880770,1
112 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR                                               ;147513222;0
113 - OUTRAS                                                                                    ;23695049;53696145,44
114 - PROGRAMA DINHEIRO DIRETO NA ESCOLA - TRANSFERENCIA DO GOVERNO FEDERAL PARA EDUCACAO       ;24130199;32634023,08
115 - TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR                                     ;51435247;57288520,87
116 - PROJOVEM URBANO -  TRANSFERENCIA DO GOVERNO FEDERAL PARA A EDUCACAO                       ;0;1914822,53
118 - CONVENIOS A REALIZAR                                                                      ;144818838;0
120 - INSPECAO SANITARIA                                                                        ;15257250;15989709,6
140 - CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE                                   ;6917180;4033459,91
141 - ROYALTIES DO PETROLEO                                                                     ;180101192;227061295,96
142 - FUNDEB                                                                                    ;1636168726;1703246075,28
143 - HONORARIOS ADVOCATICIOS                                                                   ;14608044;21974358,76
144 - MULTAS POR INFRACAO A LEGISLACAO DO MEIO AMBIENTE                                         ;3801792;6279709,86
146 - CONTRAPARTIDA - REGULARIZACAO DE OBRAS                                                    ;50497848;141860662,45
148 - RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES                                          ;25269;18645,49
150 - COSIP                                                                                     ;185925319;189539074,06
151 - CONTRAPARTIDA PEU DAS VARGENS E OUTRAS - LC 104/2009                                      ;15000000;16232647,17
152 - CONTRAPARTIDA AREA DE ESPECIAL INTERESSE URBANISTICO - AEIU - PORTO - DECRETO 35491/2012  ;0;1448840,08
180 - ATENCAO BASICA                                                                            ;318962639;272404248,99
181 - ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR                            ;973511257;955300859,23
182 - VIGILANCIA EM SAUDE                                                                       ;83286925;48089640,82
183 - ASSISTENCIA FARMACEUTICA                                                                  ;60885644;52741817,92
184 - GESTAO DO SUS                                                                             ;1411681;1157966,42
185 - INVESTIMENTOS NA REDE DE SERVICOS DE SAUDE                                                ;1746717;16988436,16
193 - TRANSFERENCIA DO FUNDO NACIONAL E ESTADUAL DE ASSISTENCIA SOCIAL                          ;27571528;31099830,04
194 - SISTEMA UNICO DE SAUDE                                                                    ;0;680099,43
195 - MULTAS POR INFRACAO A LEGISLACAO DE SAUDE                                                 ;7406717;8091524,44
199 - FECMRJ                                                                                    ;5413163;15512961,79
200 - RECEITA PROPRIA DE AUTARQUIAS FUNDACOES E EMPRESAS                                       ;888211218;626043707,16
208 - CONVENIOS                                                                                 ;1437167;1271594,49
265 - CONTRIBUICAO PREVIDENCIARIA SUPLEMENTAR                                                   ;1106131380;1091329711,16
268 - FUNDO DE ASSISTENCIA A SAUDE DO SERVIDOR                                                  ;107350000;117619398,57
269 - RETORNO DE EMPRESTIMOS CONCEDIDOS A SERVIDORES                                            ;111099044;98365050,56
270 - CONTRIBUICAO PREVIDENCIARIA                                                               ;1008684877;1007781706,12
