Orgao;Valor Pago
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;230.497.785,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;356.552,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;47.616.342,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;1.420.543.384,00
CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                        ;40.374.373,00
DISTRIBUIDORA DE FILMES S.A.                                                              ;31.308.067,00
DISTRIBUIDORA DE FILMES S/A                                                               ;0,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;91.702.621,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS                                                       ;13.262.368,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A. - IPLANRIO                                          ;87.867.249,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;586.611.497,00
EMPRESA OLÍMPICA MUNICIPAL                                                                ;17.767.885,00
EMPRESA PÚBLICA DE SAÚDE DO RIO DE JANEIRO S/A                                            ;7.000,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;2.890.490.310,00
FUNDAÇÃO CIDADE DAS ARTES                                                                 ;17.835.470,00
FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO                               ;781.744.245,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;514.023.069,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;16.903.694,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;41.248.465,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;16.345.495,00
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR;157.864.000,00
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;36.882.709,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;28.618,00
FUNDO DE MOBILIZAÇÃO DO ESPORTE OLÍMPICO                                                  ;2.000.000,00
FUNDO ESPECIAL DE ILUMINAÇÃO PÚBLICA                                                      ;232.305.642,00
FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                              ;3.069.746.360,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;100.000,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;11.515,00
FUNDO MUNICIPAL DE AMPARO À PESQUISA DO MUNICÍPIO DO RIO DE JANEIRO                       ;2.000,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;117.898.812,00
FUNDO MUNICIPAL DE CONSERVAÇÃO DO PATRIMÔNIO CULTURAL                                     ;5.000.000,00
FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO                                                 ;88.463,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;916.702.684,00
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;9.685.973,00
FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR                                        ;3.392.420,00
FUNDO MUNICIPAL DO IDOSO                                                                  ;6.135,00
