Orgao;Valor Pago
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;259.745.816,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;325.083,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;46.918.956,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;1.814.851.457,00
CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                        ;56.586.906,00
DISTRIBUIDORA DE FILMES S.A.                                                              ;0,00
DISTRIBUIDORA DE FILMES S.A. - RIOFILME                                                   ;20.145.338,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;117.045.876,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS                                                       ;0,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS S/A                                                   ;14.981.643,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A.                                                     ;128.757.063,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A. - IPLANRIO                                          ;0,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;286.821.948,00
EMPRESA OLÍMPICA MUNICIPAL S/A                                                            ;22.006.822,00
EMPRESA PÚBLICA DE SAÚDE DO RIO DE JANEIRO S/A                                            ;72.956.383,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;3.464.104.862,00
FUNDAÇÃO CIDADE DAS ARTES                                                                 ;18.455.971,00
FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO                               ;644.906.688,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;301.815.987,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;19.177.785,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;16.136.831,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;14.372.307,00
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR;218.380.000,00
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;23.956.176,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;30.191,00
FUNDO DE MOBILIZAÇÃO DO ESPORTE OLÍMPICO                                                  ;2.110.000,00
FUNDO DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                                       ;4.167.799.800,00
FUNDO ESPECIAL DE ILUMINAÇÃO PÚBLICA                                                      ;302.431.768,00
FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                              ;0,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;163.543,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;15.683,00
FUNDO MUNICIPAL DE AMPARO À PESQUISA DO MUNICÍPIO DO RIO DE JANEIRO                       ;2.110,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;139.333.293,00
FUNDO MUNICIPAL DE CONSERVAÇÃO DO PATRIMONIO CULTURAL                                     ;3.227.773,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;627.807.479,00
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;4.532.145,00
FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR                                        ;4.038.105,00
FUNDO MUNICIPAL DO IDOSO                                                                  ;156.729,00
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;2.221.894,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;18.825.870,00
GABINETE DO PREFEITO                                                                      ;37.347.494,00
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;457.240.767,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;296.162.430,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;20.866.968,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA.                                          ;34.665.683,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;333.588.028,00
RESERVA DE CONTINGÊNCIA                                                                   ;47.100.000,00
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;8.288.545,00
SECRETARIA ESPECIAL DE ABASTECIMENTO E SEGURANÇA ALIMENTAR                                ;3.816.415,00
SECRETARIA ESPECIAL DE CIÊNCIA E TECNOLOGIA                                               ;24.470.119,00
SECRETARIA ESPECIAL DE CONCESSÕES E PARCERIAS PÚBLICO PRIVADAS                            ;398.195.543,00
SECRETARIA ESPECIAL DE DESENVOLVIMENTO ECONÔMICO SOLIDÁRIO                                ;37.267.941,00
SECRETARIA ESPECIAL DE POLÍTICAS PARA AS MULHERES                                         ;4.515.247,00
SECRETARIA ESPECIAL DE PROMOÇÃO E DEFESA DOS ANIMAIS                                      ;7.299.923,00
SECRETARIA ESPECIAL DE TURISMO                                                            ;3.644.289,00
SECRETARIA ESPECIAL DO ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                        ;39.883.316,00
SECRETARIA EXECUTIVA DE COORDENAÇÃO DE GOVERNO                                            ;15.138.194,00
SECRETARIA EXTRAORDINÁRIA DE INTEGRAÇÃO METROPOLITANA                                     ;277.000,00
SECRETARIA EXTRAORDINÁRIA DE PROTEÇÃO E DEFESA DO CONSUMIDOR                              ;0,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;165.365.157,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA                                            ;20.393.734,00
SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO                                                     ;48.689.275,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL E DIREITOS HUMANOS                             ;266.443.150,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E MEIO AMBIENTE                                       ;61.704.221,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS                                   ;456.821.848,00
SECRETARIA MUNICIPAL DE CULTURA                                                           ;190.201.493,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL                                            ;0,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO, EMPREGO E INOVAÇÃO                               ;13.273.959,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;0,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO, ESPORTES E LAZER                                        ;6.584.495.065,00
SECRETARIA MUNICIPAL DE ESPORTES E LAZER                                                  ;42.204.361,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;292.701.090,00
SECRETARIA MUNICIPAL DE HABITAÇÃO                                                         ;0,00
SECRETARIA MUNICIPAL DE HABITAÇÃO E CIDADANIA                                             ;48.080.222,00
SECRETARIA MUNICIPAL DE MEIO AMBIENTE                                                     ;0,00
SECRETARIA MUNICIPAL DE OBRAS                                                             ;0,00
SECRETARIA MUNICIPAL DE ORDEM PÚBLICA                                                     ;31.731.350,00
SECRETARIA MUNICIPAL DE SANEAMENTO E RECURSOS HÍDRICOS                                    ;1.727.692,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;4.925.320.023,00
SECRETARIA MUNICIPAL DE SAÚDE E DEFESA CIVIL                                              ;0,00
SECRETARIA MUNICIPAL DE TRABALHO E EMPREGO                                                ;0,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;52.858.598,00
SECRETARIA MUNICIPAL DE URBANISMO                                                         ;68.259.179,00
SECRETARIA MUNICIPAL DE URBANISMO, INFRAESTRUTURA E HABITAÇÃO                             ;2.160.093.996,00
