Fonte;Valor Previsto;Valor Arrecadado
100 - ORDINARIOS NAO VINCULADOS                                                                 ;16851022194;14000924370,86
101 - ORDINARIOS NAO VINCULADOS - CONTRAPARTIDA DE OPERACOES DE CREDITO                         ;0;338257,64
102 - ORDINARIOS NAO VINCULADOS - CONTRAPARTIDA DE CONVENIOS                                    ;0;0
103 - INCENTIVO A CULTURA                                                                       ;57288494;53767769,65
105 - DOACOES                                                                                   ;0;1946537,16
106 - LICENCIAMENTO DE GRUPAMENTO DE EDIFICACOES                                                ;36749141;28952302,23
107 - SALARIO EDUCACAO                                                                          ;394115813;363743087,15
108 - CONVENIO REALIZADO                                                                        ;324296444;123819626,08
109 - MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO                                              ;220978392;206533489,41
110 - OPERACOES DE CREDITO CONTRATUAIS REALIZADAS                                               ;954368913;1007842430,23
112 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR                                               ;344466527;0
113 - OUTRAS                                                                                    ;44250779;29799589,98
114 - PROGRAMA DINHEIRO DIRETO NA ESCOLA - TRANSFERENCIA DO GOVERNO FEDERAL PARA EDUCACAO       ;12180896;28290392,85
115 - TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR                                     ;66080644;77735533,17
116 - PROJOVEM URBANO -  TRANSFERENCIA DO GOVERNO FEDERAL PARA A EDUCACAO                       ;1266522;357699,18
118 - CONVENIOS A REALIZAR                                                                      ;10124394;0
120 - INSPECAO SANITARIA                                                                        ;22218004;23512789,23
132 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR - CONTRAPARTIDA                               ;0;0
138 - CONVENIOS A REALIZAR - CONTRAPARTIDA                                                      ;0;0
140 - CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE                                   ;3485168;5432415,95
141 - ROYALTIES DO PETROLEO                                                                     ;176496096;231393199,73
142 - FUNDEB                                                                                    ;2518000857;2280697405,38
143 - HONORARIOS ADVOCATICIOS                                                                   ;24107821;46814176,65
144 - MULTAS POR INFRACAO A LEGISLACAO DO MEIO AMBIENTE                                         ;6800889;6180163,43
145 - MULTAS POR INFRACAO A LEGISLACAO URBANISTICA                                              ;0;0
146 - CONTRAPARTIDA - REGULARIZACAO DE OBRAS                                                    ;229331222;110873215,16
147 - CONTRAPARTIDA - OPERACOES INTERLIGADAS                                                    ;0;0
148 - RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES                                          ;0;36244,25
149 - AMORTIZACAO EXTRAORDINARIA DA DIVIDA PUBLICA RENEGOCIADA                                  ;0;0
150 - COSIP                                                                                     ;285712103;271418566,22
151 - CONTRAPARTIDA PEU DAS VARGENS E OUTRAS - LC 104/2009                                      ;0;6256732,93
152 - CONTRAPARTIDA AREA DE ESPECIAL INTERESSE URBANISTICO - AEIU - PORTO - DECRETO 35491/2012  ;0;110184,34
153 - CONTRAPARTIDA AREA DE ESPECIAL INTERESSE URBANISTICO - PORTO - LEI COMPLEMENTAR 123/2012  ;0;0
154 - CONTRAPARTIDA - AEIU - ENGENHO DE DENTRO - DECRETO - 37961/2013                           ;0;160,38
180 - ATENCAO BASICA                                                                            ;362977457;379857413,65
181 - ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR                            ;1002501431;889732378,94
182 - VIGILANCIA EM SAUDE                                                                       ;56320579;66412019,49
183 - ASSISTENCIA FARMACEUTICA                                                                  ;32951989;34059260,16
184 - GESTAO DO SUS                                                                             ;822843;161742,88
185 - INVESTIMENTOS NA REDE DE SERVICOS DE SAUDE                                                ;0;8494198,53
186 - COBERTURA SECURITARIA DE ENTIDADE PRIVADA                                                 ;0;0
192 - TRANSFERENCIA POR CONDENACAO EM ACOES/PENALIZACAO AO ESTATUTO DA CRIANCA E DO ADOLESCENTE ;0;0
193 - TRANSFERENCIA DO FUNDO NACIONAL E ESTADUAL DE ASSISTENCIA SOCIAL                          ;50012016;47846963,52
194 - SISTEMA UNICO DE SAUDE                                                                    ;0;0
195 - MULTAS POR INFRACAO A LEGISLACAO DE SAUDE                                                 ;7739757;10580877,44
199 - FECMRJ                                                                                    ;9100617;19262687,95
200 - RECEITA PROPRIA DE AUTARQUIAS FUNDACOES E EMPRESAS                                       ;1613152905;1390039660,91
208 - CONVENIOS                                                                                 ;79653307;86589900,88
218 - CONVENIOS A REALIZAR                                                                      ;40150000;0
265 - CONTRIBUICAO PREVIDENCIARIA SUPLEMENTAR                                                   ;1735215000;1476167953,69
268 - FUNDO DE ASSISTENCIA A SAUDE DO SERVIDOR                                                  ;95733000;166922676,33
269 - RETORNO DE EMPRESTIMOS CONCEDIDOS A SERVIDORES                                            ;90830678;0
270 - CONTRIBUICAO PREVIDENCIARIA                                                               ;1744760301;1661329013,6
