Fonte;Valor Previsto;Valor Arrecadado
100 - ORDINARIOS NAO VINCULADOS                                                                 ;13065869207;12713587338,71
101 - ORDINARIOS NAO VINCULADOS - CONTRAPARTIDA DE OPERACOES DE CREDITO                         ;0;178290,14
103 - INCENTIVO A CULTURA                                                                       ;49535490;30371321,02
105 - DOACOES                                                                                   ;0;5381886,78
106 - LICENCIAMENTO DE GRUPAMENTO DE EDIFICACOES                                                ;5133382;18286939,1
107 - SALARIO EDUCACAO                                                                          ;296596062;302815052,88
108 - CONVENIO REALIZADO                                                                        ;354791596;199462083,61
109 - MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO                                              ;156740144;148979115,13
110 - OPERACOES DE CREDITO CONTRATUAIS REALIZADAS                                               ;1058340207;725152657,82
112 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR                                               ;401053575;0
113 - OUTRAS                                                                                    ;60732630;50532722,06
114 - PROGRAMA DINHEIRO DIRETO NA ESCOLA - TRANSFERENCIA DO GOVERNO FEDERAL PARA EDUCACAO       ;20519173;33110661,79
115 - TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR                                     ;56503489;67954705,02
116 - PROJOVEM URBANO -  TRANSFERENCIA DO GOVERNO FEDERAL PARA A EDUCACAO                       ;1512165;179529,65
118 - CONVENIOS A REALIZAR                                                                      ;233750294;0
120 - INSPECAO SANITARIA                                                                        ;16023020;23978980,16
140 - CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE                                   ;224029;244434,37
141 - ROYALTIES DO PETROLEO                                                                     ;221497324;225942650,54
142 - FUNDEB                                                                                    ;1839386473;2041887465,26
143 - HONORARIOS ADVOCATICIOS                                                                   ;22607616;93601420,27
144 - MULTAS POR INFRACAO A LEGISLACAO DO MEIO AMBIENTE                                         ;5024619;5082065,57
146 - CONTRAPARTIDA - REGULARIZACAO DE OBRAS                                                    ;106594076;161732318,4
148 - RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES                                          ;21511;19399,54
150 - COSIP                                                                                     ;198519884;212177909,85
151 - CONTRAPARTIDA PEU DAS VARGENS E OUTRAS - LC 104/2009                                      ;17091084;107996364,5
152 - CONTRAPARTIDA AREA DE ESPECIAL INTERESSE URBANISTICO - AEIU - PORTO - DECRETO 35491/2012  ;0;3307273,5
180 - ATENCAO BASICA                                                                            ;311700827;310005785,95
181 - ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR                            ;1355022534;1001136113,14
182 - VIGILANCIA EM SAUDE                                                                       ;79618160;61696237,38
183 - ASSISTENCIA FARMACEUTICA                                                                  ;55043613;47078460,28
184 - GESTAO DO SUS                                                                             ;1227829;1880659,66
185 - INVESTIMENTOS NA REDE DE SERVICOS DE SAUDE                                                ;3021618;7735749
193 - TRANSFERENCIA DO FUNDO NACIONAL E ESTADUAL DE ASSISTENCIA SOCIAL                          ;27778404;34749614,75
194 - SISTEMA UNICO DE SAUDE                                                                    ;0;11439,63
195 - MULTAS POR INFRACAO A LEGISLACAO DE SAUDE                                                 ;8086975;10639599,92
199 - FECMRJ                                                                                    ;5981545;9986386,64
200 - RECEITA PROPRIA DE AUTARQUIAS FUNDACOES E EMPRESAS                                       ;916215317;578702228,86
208 - CONVENIOS                                                                                 ;1500000;999666,15
218 - CONVENIOS A REALIZAR                                                                      ;3767000;0
265 - CONTRIBUICAO PREVIDENCIARIA SUPLEMENTAR                                                   ;1161437963;1182697886,54
267 - CONTRIBUICAO PREVIDENCIARIA - ADMITIDOS ATE  15/12/1998                                   ;0;0
268 - FUNDO DE ASSISTENCIA A SAUDE DO SERVIDOR                                                  ;149748711;137811884,06
269 - RETORNO DE EMPRESTIMOS CONCEDIDOS A SERVIDORES                                            ;125000000;81814614,05
270 - CONTRIBUICAO PREVIDENCIARIA                                                               ;1119378980;1110216827,94
