Fonte;Valor Previsto;Valor Arrecadado
100 - ORDINARIOS NAO VINCULADOS                                                                 ;14526009968;13191962903,33
101 - ORDINARIOS NAO VINCULADOS - CONTRAPARTIDA DE OPERACOES DE CREDITO                         ;0;258636,93
103 - INCENTIVO A CULTURA                                                                       ;49535490;40481558,57
105 - DOACOES                                                                                   ;0;2544248,44
106 - LICENCIAMENTO DE GRUPAMENTO DE EDIFICACOES                                                ;13779700;38971845,98
107 - SALARIO EDUCACAO                                                                          ;373524236;386198903,96
108 - CONVENIO REALIZADO                                                                        ;818624108;328928356,6
109 - MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO                                              ;179325792;177796633,92
110 - OPERACOES DE CREDITO CONTRATUAIS REALIZADAS                                               ;1020902133;1658563307,71
112 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR                                               ;1387534972;0
113 - OUTRAS                                                                                    ;62686363;92421285,98
114 - PROGRAMA DINHEIRO DIRETO NA ESCOLA - TRANSFERENCIA DO GOVERNO FEDERAL PARA EDUCACAO       ;36573039;25321838,62
115 - TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR                                     ;64451297;56756002,01
116 - PROJOVEM URBANO -  TRANSFERENCIA DO GOVERNO FEDERAL PARA A EDUCACAO                       ;1805098;777453,72
118 - CONVENIOS A REALIZAR                                                                      ;392741709;0
120 - INSPECAO SANITARIA                                                                        ;24536687;25396677,41
140 - CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE                                   ;261463;496110,78
141 - ROYALTIES DO PETROLEO                                                                     ;255238591;260488487,66
142 - FUNDEB                                                                                    ;2209599914;2155263909,57
143 - HONORARIOS ADVOCATICIOS                                                                   ;24704843;27003117,06
144 - MULTAS POR INFRACAO A LEGISLACAO DO MEIO AMBIENTE                                         ;5221344;4573547,56
146 - CONTRAPARTIDA - REGULARIZACAO DE OBRAS                                                    ;145959292;151069351,29
148 - RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES                                          ;28618;27936,94
150 - COSIP                                                                                     ;229407172;244571968,56
151 - CONTRAPARTIDA PEU DAS VARGENS E OUTRAS - LC 104/2009                                      ;17566706;76282822,31
152 - CONTRAPARTIDA AREA DE ESPECIAL INTERESSE URBANISTICO - AEIU - PORTO - DECRETO 35491/2012  ;0;2096,28
180 - ATENCAO BASICA                                                                            ;337659902;325980325,13
181 - ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR                            ;1117159678;965054148,45
182 - VIGILANCIA EM SAUDE                                                                       ;49803595;63828970,97
183 - ASSISTENCIA FARMACEUTICA                                                                  ;54275194;49537213,96
184 - GESTAO DO SUS                                                                             ;1646345;824808,96
185 - INVESTIMENTOS NA REDE DE SERVICOS DE SAUDE                                                ;3110932;19962393,32
193 - TRANSFERENCIA DO FUNDO NACIONAL E ESTADUAL DE ASSISTENCIA SOCIAL                          ;30758315;30580348,63
194 - SISTEMA UNICO DE SAUDE                                                                    ;0;0
195 - MULTAS POR INFRACAO A LEGISLACAO DE SAUDE                                                 ;8900887;10054969,72
199 - FECMRJ                                                                                    ;6475022;31176431,36
200 - RECEITA PROPRIA DE AUTARQUIAS FUNDACOES E EMPRESAS                                       ;1017139707;694527431,64
208 - CONVENIOS                                                                                 ;1623471;4857651,21
218 - CONVENIOS A REALIZAR                                                                      ;5920000;0
265 - CONTRIBUICAO PREVIDENCIARIA SUPLEMENTAR                                                   ;1258571000;1298987633,67
267 - CONTRIBUICAO PREVIDENCIARIA - ADMITIDOS ATE  15/12/1998                                   ;0;0
268 - FUNDO DE ASSISTENCIA A SAUDE DO SERVIDOR                                                  ;157864000;170549218,86
269 - RETORNO DE EMPRESTIMOS CONCEDIDOS A SERVIDORES                                            ;90233000;78912437,85
270 - CONTRIBUICAO PREVIDENCIARIA                                                               ;1192258140;1281487196,4
