Fonte;Valor Previsto;Valor Arrecadado
100 - ORDINARIOS NAO VINCULADOS                                                                 ;17346836649;16061515763,61
101 - ORDINARIOS NAO VINCULADOS - CONTRAPARTIDA DE OPERACOES DE CREDITO                         ;0;42574,03
103 - INCENTIVO A CULTURA                                                                       ;51738462;48822642,8
104 - ORDINARIOS NAO VINCULADOS - ALIENACAO DE BENS                                             ;7127000;22042071,99
105 - DOACOES                                                                                   ;240993;1486228,26
106 - LICENCIAMENTO DE GRUPAMENTO DE EDIFICACOES                                                ;12460905;6060162,45
107 - SALARIO EDUCACAO                                                                          ;387263114;322072325,19
108 - CONVENIO REALIZADO                                                                        ;211973668;52278129,21
109 - MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO                                              ;311658111;217906901,62
110 - OPERACOES DE CREDITO CONTRATUAIS REALIZADAS                                               ;387817957;195437961,5
112 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR                                               ;36211535;0
113 - OUTRAS                                                                                    ;56622473;84474697,02
114 - PROGRAMA DINHEIRO DIRETO NA ESCOLA - TRANSFERENCIA DO GOVERNO FEDERAL PARA EDUCACAO       ;20000000;19626532,54
115 - TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR                                     ;78068618;83172797,25
116 - PROJOVEM URBANO -  TRANSFERENCIA DO GOVERNO FEDERAL PARA A EDUCACAO                       ;291999;206493,95
118 - CONVENIOS A REALIZAR                                                                      ;61206403;0
120 - INSPECAO SANITARIA                                                                        ;53565114;37816923,19
140 - CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE                                   ;5087598;2475929,82
141 - ROYALTIES DO PETROLEO                                                                     ;381450383;521223563,67
142 - FUNDEB                                                                                    ;2627273281;2637529950,79
143 - HONORARIOS ADVOCATICIOS                                                                   ;30651692;61810392,87
144 - MULTAS POR INFRACAO A LEGISLACAO DO MEIO AMBIENTE                                         ;2952083;16061829
145 - MULTAS POR INFRACAO A LEGISLACAO URBANISTICA                                              ;0;0
146 - CONTRAPARTIDA - REGULARIZACAO DE OBRAS                                                    ;332295922;165249873,42
147 - CONTRAPARTIDA - OPERACOES INTERLIGADAS                                                    ;0;0
148 - RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES                                          ;0;24570,07
150 - COSIP                                                                                     ;325799302;303355271,6
151 - CONTRAPARTIDA PEU DAS VARGENS E OUTRAS - LC 104/2009                                      ;108425;7575,51
152 - CONTRAPARTIDA AREA DE ESPECIAL INTERESSE URBANISTICO - AEIU - PORTO - DECRETO 35491/2012  ;0;6802,06
153 - CONTRAPARTIDA AREA DE ESPECIAL INTERESSE URBANISTICO - PORTO - LEI COMPLEMENTAR 123/2012  ;0;0
154 - CONTRAPARTIDA - AEIU - ENGENHO DE DENTRO - DECRETO - 37961/2013                           ;0;0
180 - ATENCAO BASICA                                                                            ;378027726;424357960,44
181 - ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR                            ;927214122;1141278559,99
182 - VIGILANCIA EM SAUDE                                                                       ;54429776;75733399,05
183 - ASSISTENCIA FARMACEUTICA                                                                  ;36558364;50962586,54
184 - GESTAO DO SUS                                                                             ;150401;145030,59
185 - INVESTIMENTOS NA REDE DE SERVICOS DE SAUDE                                                ;2141438;10288149,03
186 - COBERTURA SECURITARIA DE ENTIDADE PRIVADA                                                 ;0;0
192 - TRANSFERENCIA POR CONDENACAO EM ACOES/PENALIZACAO AO ESTATUTO DA CRIANCA E DO ADOLESCENTE ;0;0
193 - TRANSFERENCIA DO FUNDO NACIONAL E ESTADUAL DE ASSISTENCIA SOCIAL                          ;60420033;60836659,48
194 - SISTEMA UNICO DE SAUDE                                                                    ;0;0
195 - MULTAS POR INFRACAO A LEGISLACAO DE SAUDE                                                 ;10778204;11036480,67
197 - TRANSFERENCIA DA CMRJ PARA EDUCACAO E SAUDE                                               ;0;21311,1
199 - FECMRJ                                                                                    ;10802340;8660200,78
200 - RECEITA PROPRIA DE AUTARQUIAS FUNDACOES E EMPRESAS                                       ;1889289233;1405097769,66
204 - ALIENACAO DE BENS                                                                         ;7965003;36651583,41
208 - CONVENIOS                                                                                 ;233520688;324466819,33
218 - CONVENIOS A REALIZAR                                                                      ;16252200;0
265 - CONTRIBUICAO PREVIDENCIARIA SUPLEMENTAR                                                   ;1917961153;1921698631,06
268 - FUNDO DE ASSISTENCIA A SAUDE DO SERVIDOR                                                  ;223398834;232238892,05
270 - CONTRIBUICAO PREVIDENCIARIA                                                               ;2134761717;2188623224,9
