Fonte;Valor Previsto;Valor Arrecadado
100 - ORDINARIOS NAO VINCULADOS                                                                 ;17186470323;15035987853,71
101 - ORDINARIOS NAO VINCULADOS - CONTRAPARTIDA DE OPERACOES DE CREDITO                         ;0;51668,25
103 - INCENTIVO A CULTURA                                                                       ;55074902;51848878,71
104 - ORDINARIOS NAO VINCULADOS - ALIENACAO DE BENS                                             ;0;18258096,5
105 - DOACOES                                                                                   ;266574;1626952,08
106 - LICENCIAMENTO DE GRUPAMENTO DE EDIFICACOES                                                ;25343698;11533506,9
107 - SALARIO EDUCACAO                                                                          ;382925588;371593663,58
108 - CONVENIO REALIZADO                                                                        ;355251868;46101162,73
109 - MULTAS POR INFRACAO A LEGISLACAO DO TRANSITO                                              ;249246188;231705235,77
110 - OPERACOES DE CREDITO CONTRATUAIS REALIZADAS                                               ;612832040;1030045109,94
112 - OPERACOES DE CREDITO CONTRATUAIS A REALIZAR                                               ;649521900;0
113 - OUTRAS                                                                                    ;75955752;40022668,02
114 - PROGRAMA DINHEIRO DIRETO NA ESCOLA - TRANSFERENCIA DO GOVERNO FEDERAL PARA EDUCACAO       ;12280100;33265426,83
115 - TRANSFERENCIA DO GOVERNO FEDERAL PARA MERENDA ESCOLAR                                     ;79475809;68206065,43
116 - PROJOVEM URBANO -  TRANSFERENCIA DO GOVERNO FEDERAL PARA A EDUCACAO                       ;324375;248683,79
118 - CONVENIOS A REALIZAR                                                                      ;41475667;0
120 - INSPECAO SANITARIA                                                                        ;25209471;24395502,67
140 - CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - CIDE                                   ;5907790;4253519,25
141 - ROYALTIES DO PETROLEO                                                                     ;289894527;414696272,85
142 - FUNDEB                                                                                    ;2475497566;2674799981,14
143 - HONORARIOS ADVOCATICIOS                                                                   ;50428483;36870329,44
144 - MULTAS POR INFRACAO A LEGISLACAO DO MEIO AMBIENTE                                         ;5609818;3594409,77
145 - MULTAS POR INFRACAO A LEGISLACAO URBANISTICA                                              ;0;0
146 - CONTRAPARTIDA - REGULARIZACAO DE OBRAS                                                    ;256931980;115615665,57
147 - CONTRAPARTIDA - OPERACOES INTERLIGADAS                                                    ;0;0
148 - RETORNO DE EMPRESTIMOS CONCEDIDOS A INSTITUICOES                                          ;0;25504,21
150 - COSIP                                                                                     ;291872834;316946889,67
151 - CONTRAPARTIDA PEU DAS VARGENS E OUTRAS - LC 104/2009                                      ;108347;33344,08
152 - CONTRAPARTIDA AREA DE ESPECIAL INTERESSE URBANISTICO - AEIU - PORTO - DECRETO 35491/2012  ;0;5842,96
153 - CONTRAPARTIDA AREA DE ESPECIAL INTERESSE URBANISTICO - PORTO - LEI COMPLEMENTAR 123/2012  ;0;0
154 - CONTRAPARTIDA - AEIU - ENGENHO DE DENTRO - DECRETO - 37961/2013                           ;0;0
180 - ATENCAO BASICA                                                                            ;372191983;411705975,03
181 - ATENCAO DE MEDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR                            ;925472671;968282210,84
182 - VIGILANCIA EM SAUDE                                                                       ;69326031;71941389,92
183 - ASSISTENCIA FARMACEUTICA                                                                  ;32879994;33372506,39
184 - GESTAO DO SUS                                                                             ;151405;156748,2
185 - INVESTIMENTOS NA REDE DE SERVICOS DE SAUDE                                                ;1868097;65774969,2
186 - COBERTURA SECURITARIA DE ENTIDADE PRIVADA                                                 ;0;0
192 - TRANSFERENCIA POR CONDENACAO EM ACOES/PENALIZACAO AO ESTATUTO DA CRIANCA E DO ADOLESCENTE ;0;0
193 - TRANSFERENCIA DO FUNDO NACIONAL E ESTADUAL DE ASSISTENCIA SOCIAL                          ;52704421;64229603,39
194 - SISTEMA UNICO DE SAUDE                                                                    ;0;0
195 - MULTAS POR INFRACAO A LEGISLACAO DE SAUDE                                                 ;5422473;11606927,63
197 - TRANSFERENCIA DA CMRJ PARA EDUCACAO E SAUDE                                               ;0;0
199 - FECMRJ                                                                                    ;9992478;9069831,72
200 - RECEITA PROPRIA DE AUTARQUIAS FUNDACOES E EMPRESAS                                       ;1478448111;1571284237,72
204 - ALIENACAO DE BENS                                                                         ;0;44015819,17
208 - CONVENIOS                                                                                 ;92898273;169537796,42
218 - CONVENIOS A REALIZAR                                                                      ;40000000;0
265 - CONTRIBUICAO PREVIDENCIARIA SUPLEMENTAR                                                   ;1773391000;1692616307,65
268 - FUNDO DE ASSISTENCIA A SAUDE DO SERVIDOR                                                  ;219470500;203380949,2
269 - RETORNO DE EMPRESTIMOS CONCEDIDOS A SERVIDORES                                            ;0;0
270 - CONTRIBUICAO PREVIDENCIARIA                                                               ;2071509000;1824776293,46
