Orgao;Valor Pago
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;226.107.424,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;337.103,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;44.601.144,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;1.216.159.803,00
CONTROLADORIA GERAL DO MUNICÍPIO DO MUNICÍPIO DO RIO DE JANEIRO                           ;0,00
CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                        ;41.631.454,00
DISTRIBUIDORA DE FILMES S.A.                                                              ;39.232.786,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;55.369.660,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS                                                       ;15.335.603,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A. - IPLANRIO                                          ;94.227.280,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;56.064.385,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIOURBE                                                ;0,00
EMPRESA OLÍMPICA MUNICIPAL                                                                ;12.534.342,00
EMPRESA OLÍMPICA MUNICIPAL S/A                                                            ;0,00
EMPRESA PÚBLICA DE SAÚDE DO RIO DE JANEIRO S/A                                            ;0,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;2.222.262.343,00
FUNDAÇÃO CIDADE DAS ARTES                                                                 ;0,00
FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO                               ;559.907.469,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;90.905.584,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;15.140.534,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;51.925.171,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;16.408.841,00
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR;149.748.711,00
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;31.716.707,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;21.511,00
FUNDO DE MOBILIZAÇÃO DO ESPORTE OLÍMPICO                                                  ;2.000.000,00
FUNDO ESPECIAL DE ILUMINAÇÃO PÚBLICA                                                      ;205.362.474,00
FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                              ;2.831.103.297,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;92.336,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;168.376,00
FUNDO MUNICIPAL DE AMPARO À PESQUISA DO MUNICÍPIO DO RIO DE JANEIRO                       ;10.000.000,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;102.061.542,00
FUNDO MUNICIPAL DE CONSERVAÇÃO DO PATRIMÔNIO CULTURAL                                     ;1.000,00
FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO                                                 ;48.136,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;33.585.607,00
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;90.276.945,00
FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR                                        ;5.002.000,00
FUNDO MUNICIPAL DO IDOSO                                                                  ;55.489,00
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;4.084.345,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;28.253.987,00
GABINETE DO PREFEITO                                                                      ;56.808.561,00
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;345.573.944,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;239.419.441,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;42.312.502,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA                                           ;0,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA.                                          ;31.704.698,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;92.351.705,00
RESERVA DE CONTINGÊNCIA                                                                   ;36.099.409,00
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;5.898.310,00
SECRETARIA ESPECIAL DA ORDEM PÚBLICA                                                      ;0,00
SECRETARIA ESPECIAL DE ABASTECIMENTO E SEGURANÇA ALIMENTAR                                ;0,00
SECRETARIA ESPECIAL DE CIÊNCIA E TECNOLOGIA                                               ;19.704.876,00
SECRETARIA ESPECIAL DE DESENVOLVIMENTO ECONÔMICO SOLIDÁRIO                                ;4.089.540,00
SECRETARIA ESPECIAL DE POLÍTICAS PARA AS MULHERES                                         ;0,00
SECRETARIA ESPECIAL DE PROMOÇÃO E DEFESA DOS ANIMAIS                                      ;6.125.851,00
SECRETARIA ESPECIAL DE TURISMO                                                            ;22.073.951,00
