Orgao;Valor Pago
COMPANHIA DE ENGENHARIA DE TRÁFEGO                                                        ;129.169.899,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;307.203,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;44.350.758,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;953.892.170,00
CONTROLADORIA GERAL DO MUNICÍPIO                                                          ;37.674.170,00
DISTRIBUIDORA DE FILMES S/A                                                               ;15.727.655,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;50.236.218,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS                                                       ;12.206.488,00
EMPRESA MUNICIPAL DE INFORMÁTICA - IPLANRIO                                               ;95.648.249,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A. - IPLANRIO                                          ;0,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;0,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIOURBE                                                ;139.686.726,00
EMPRESA OLÍMPICA MUNICIPAL S.A.                                                           ;3.000,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;2.673.155.322,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;70.306.038,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;13.306.911,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;14.469.267,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;0,00
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR;90.159.000,00
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;15.745.831,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;14.963,00
FUNDO DE MOBILIZAÇÃO DO ESPORTE OLÍMPICO                                                  ;5.959.251,00
FUNDO DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                                       ;2.388.770.000,00
FUNDO DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO - FUNPREVI                            ;0,00
FUNDO ESPECIAL DE ILUMINAÇÃO PÚBLICA                                                      ;164.684.284,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;41.500,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;56.361,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;78.751.983,00
FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO                                                 ;69.171,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;45.657.027,00
FUNDO MUNICIPAL DE HABITAÇÃO - FMH                                                        ;0,00
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;44.955.103,00
FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR                                        ;3.000,00
FUNDO MUNICIPAL DO IDOSO                                                                  ;18.569,00
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;1.097.370,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;18.875.478,00
GABINETE DO PREFEITO                                                                      ;18.238.085,00
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;207.091.236,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;235.636.393,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;22.384.939,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS  LTDA                                          ;0,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA                                           ;29.637.263,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA.                                          ;0,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;124.045.376,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO - PGM                                   ;0,00
RESERVA DE CONTINGÊNCIA                                                                   ;27.809.999,00
RIOCENTRO S/A - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO               ;4.099.754,00
SECRETARIA ESPECIAL DA COPA 2014 E RIO 2016                                               ;3.231.080,00
SECRETARIA ESPECIAL DE CIÊNCIA E TECNOLOGIA                                               ;6.402.926,00
SECRETARIA ESPECIAL DE DESENVOLVIMENTO ECONÔMICO CIÊNCIA E TECNOLOGIA                     ;0,00
SECRETARIA ESPECIAL DE DESENVOLVIMENTO ECONÔMICO SOLIDÁRIO                                ;11.092.442,00
SECRETARIA ESPECIAL DE PREVENÇÃO A DEPENDÊNCIA QUÍMICA                                    ;0,00
SECRETARIA ESPECIAL DE PREVENÇÃO À DEPENDÊNCIA QUÍMICA                                    ;0,00
SECRETARIA ESPECIAL DE PROMOÇÃO E DEFESA DOS ANIMAIS                                      ;4.249.663,00
SECRETARIA ESPECIAL DE TURISMO                                                            ;9.445.222,00
SECRETARIA ESPECIAL DO ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                        ;24.645.687,00
SECRETARIA EXTRAORDINÁRIA DE DESENVOLVIMENTO                                              ;4.090.500,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;163.782.754,00
SECRETARIA MUNICIPAL DA ORDEM PÚBLICA                                                     ;15.340.454,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA                                            ;16.906.407,00
SECRETARIA MUNICIPAL DAS CULTURAS                                                         ;0,00
SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO                                                     ;50.373.176,00
SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                ;246.974.005,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS                                   ;242.703.369,00
SECRETARIA MUNICIPAL DE CULTURA                                                           ;147.289.578,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL                                            ;0,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;3.566.155.138,00
SECRETARIA MUNICIPAL DE ESPORTES E LAZER                                                  ;32.731.300,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;205.332.968,00
SECRETARIA MUNICIPAL DE HABITAÇÃO                                                         ;563.705.298,00
SECRETARIA MUNICIPAL DE MEIO AMBIENTE                                                     ;35.183.569,00
SECRETARIA MUNICIPAL DE OBRAS                                                             ;2.152.527.577,00
SECRETARIA MUNICIPAL DE OBRAS E CONSERVAÇÃO                                               ;0,00
SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS PÚBLICOS                                         ;0,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;0,00
SECRETARIA MUNICIPAL DE SAÚDE E DEFESA CIVIL                                              ;2.998.669.259,00
SECRETARIA MUNICIPAL DE TRABALHO E EMPREGO                                                ;29.138.297,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;24.686.902,00
SECRETARIA MUNICIPAL DE URBANISMO                                                         ;45.887.666,00
SECRETARIA MUNICIPAL DO HABITAT                                                           ;0,00
