Orgao;Valor Pago
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;246.460.849,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;373.653,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;46.883.735,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA                                                     ;1.770.395.653,00
CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                        ;50.552.183,00
DISTRIBUIDORA DE FILMES S.A.                                                              ;21.828.826,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;56.355.285,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS                                                       ;14.927.139,00
EMPRESA MUNICIPAL DE INFORMÁTICA - IPLANRIO                                               ;0,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A. - IPLANRIO                                          ;93.602.088,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;1.026.520.091,00
EMPRESA OLÍMPICA MUNICIPAL                                                                ;0,00
EMPRESA OLÍMPICA MUNICIPAL S/A                                                            ;23.599.646,00
EMPRESA PÚBLICA DE SAÚDE DO RIO DE JANEIRO S/A                                            ;17.645.932,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;3.484.802.294,00
FUNDAÇÃO CIDADE DAS ARTES                                                                 ;17.169.415,00
FUNDAÇÃO INSTITUTO DAS ÁGUAS DO MUNICÍPIO DO RIO DE JANEIRO                               ;542.796.326,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;577.836.798,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;18.296.858,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;17.654.812,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;15.911.820,00
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR;190.676.568,00
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;11.588.574,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;30.191,00
FUNDO DE MOBILIZAÇÃO DO ESPORTE OLÍMPICO                                                  ;2.110.000,00
FUNDO ESPECIAL DE ILUMINAÇÃO PÚBLICA                                                      ;255.245.047,00
FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                              ;3.651.875.757,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;96.028,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;11.803,00
FUNDO MUNICIPAL DE AMPARO À PESQUISA DO MUNICÍPIO DO RIO DE JANEIRO                       ;2.110,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;119.706.107,00
FUNDO MUNICIPAL DE CONSERVAÇÃO DO PATRIMÔNIO CULTURAL                                     ;3.059.500,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;659.406.743,00
FUNDO MUNICIPAL DE HABITAÇÃO DE INTERESSE SOCIAL                                          ;3.703.871,00
FUNDO MUNICIPAL DE PROTEÇÃO E DEFESA DO CONSUMIDOR                                        ;4.494.092,00
FUNDO MUNICIPAL DO IDOSO                                                                  ;5.992,00
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;1.397.420,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;25.548.778,00
GABINETE DO PREFEITO                                                                      ;37.253.349,00
GUARDA MUNICIPAL DO RIO DE JANEIRO                                                        ;439.984.511,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;249.384.010,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;16.676.821,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA.                                          ;35.717.443,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                         ;181.413.045,00
RESERVA DE CONTINGÊNCIA                                                                   ;45.000.000,00
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;7.806.593,00
SECRETARIA ESPECIAL DE ABASTECIMENTO E SEGURANÇA ALIMENTAR                                ;3.806.033,00
SECRETARIA ESPECIAL DE CIÊNCIA E TECNOLOGIA                                               ;23.733.730,00
SECRETARIA ESPECIAL DE CONCESSÕES E PARCERIAS PÚBLICO PRIVADAS                            ;513.061.721,00
SECRETARIA ESPECIAL DE DESENVOLVIMENTO ECONÔMICO SOLIDÁRIO                                ;7.612.370,00
SECRETARIA ESPECIAL DE POLÍTICAS PARA AS MULHERES                                         ;4.634.687,00
SECRETARIA ESPECIAL DE PROMOÇÃO E DEFESA DOS ANIMAIS                                      ;12.755.420,00
SECRETARIA ESPECIAL DE TURISMO                                                            ;20.840.257,00
SECRETARIA ESPECIAL DO ENVELHECIMENTO SAUDÁVEL E QUALIDADE DE VIDA                        ;42.300.760,00
SECRETARIA EXECUTIVA DE COORDENAÇÃO DE GOVERNO                                            ;28.703.035,00
SECRETARIA EXTRAORDINÁRIA DE PROTEÇÃO E DEFESA DO CONSUMIDOR                              ;2.069.634,00
SECRETARIA MUNICIPAL DA CASA CIVIL                                                        ;201.000.399,00
SECRETARIA MUNICIPAL DA PESSOA COM DEFICIÊNCIA                                            ;18.625.501,00
SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO                                                     ;51.401.422,00
SECRETARIA MUNICIPAL DE CONSERVAÇÃO E SERVIÇOS PÚBLICOS                                   ;351.494.088,00
SECRETARIA MUNICIPAL DE CULTURA                                                           ;192.169.955,00
SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL                                            ;261.160.119,00
SECRETARIA MUNICIPAL DE EDUCAÇÃO                                                          ;6.311.008.164,00
SECRETARIA MUNICIPAL DE ESPORTES E LAZER                                                  ;46.738.238,00
SECRETARIA MUNICIPAL DE FAZENDA                                                           ;281.413.885,00
SECRETARIA MUNICIPAL DE HABITAÇÃO                                                         ;0,00
SECRETARIA MUNICIPAL DE HABITAÇÃO E CIDADANIA                                             ;48.184.884,00
SECRETARIA MUNICIPAL DE MEIO AMBIENTE                                                     ;61.098.677,00
SECRETARIA MUNICIPAL DE OBRAS                                                             ;2.349.977.666,00
SECRETARIA MUNICIPAL DE ORDEM PÚBLICA                                                     ;20.357.172,00
SECRETARIA MUNICIPAL DE SAÚDE                                                             ;4.474.477.181,00
SECRETARIA MUNICIPAL DE SAÚDE E DEFESA CIVIL                                              ;0,00
SECRETARIA MUNICIPAL DE TRABALHO E EMPREGO                                                ;12.928.624,00
SECRETARIA MUNICIPAL DE TRANSPORTES                                                       ;39.085.169,00
SECRETARIA MUNICIPAL DE URBANISMO                                                         ;62.463.110,00
