Orgao;Valor Pago
COMPANHIA DE ENGENHARIA DE TRÁFEGO DO RIO DE JANEIRO                                      ;85.961.899,00
COMPANHIA MUNICIPAL DE CONSERVAÇÃO E OBRAS PÚBLICAS                                       ;153.000,00
COMPANHIA MUNICIPAL DE ENERGIA E ILUMINAÇÃO                                               ;58.652.873,00
COMPANHIA MUNICIPAL DE LIMPEZA URBANA - COMLURB                                           ;683.717.724,00
CONTROLADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO                                        ;27.712.721,00
DISTRIBUIDORA DE FILMES S.A.                                                              ;5.499.522,00
EMPRESA DE TURISMO DO MUNICÍPIO DO RIO DE JANEIRO                                         ;49.442.264,00
EMPRESA MUNICIPAL DE ARTES GRÁFICAS                                                       ;9.960.304,00
EMPRESA MUNICIPAL DE INFORMÁTICA S.A. - IPLANRIO                                          ;77.368.884,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIO-URBE                                               ;0,00
EMPRESA MUNICIPAL DE URBANIZAÇÃO - RIOURBE                                                ;66.828.906,00
EMPRESA MUNICIPAL DE VIGILÂNCIA                                                           ;176.168.861,00
ENCARGOS GERAIS DO MUNICÍPIO                                                              ;1.577.075.767,00
FUNDAÇÃO INSTITUTO DE GEOTÉCNICA DO MUNICÍPIO DO RIO DE JANEIRO                           ;9.064.759,00
FUNDAÇÃO JARDIM ZOOLÓGICO DA CIDADE DO RIO DE JANEIRO                                     ;11.100.615,00
FUNDAÇÃO MUNICIPAL LAR ESCOLA FRANCISCO DE PAULA - FUNLAR RIO                             ;0,00
FUNDAÇÃO PARQUES E JARDINS                                                                ;24.960.237,00
FUNDAÇÃO PLANETÁRIO DA CIDADE DO RIO DE JANEIRO                                           ;7.730.990,00
FUNDO DE ASSISTÊNCIA À SAÚDE DO SERVIDOR                                                  ;78.185.000,00
FUNDO DE CONSERVAÇÃO AMBIENTAL                                                            ;37.152.549,00
FUNDO DE DESENVOLVIMENTO ECONÔMICO E TRABALHO DO MRJ                                      ;10.400,00
FUNDO DE MOBILIZAÇÃO DO ESPORTE OLÍMPICO                                                  ;2.503.000,00
FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                              ;1.816.626.000,00
FUNDO ESPECIAL PROJETO TIRADENTES                                                         ;9.085.496,00
FUNDO MUNICIPAL ANTIDROGAS                                                                ;25.614,00
FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL                                                     ;44.750.436,00
FUNDO MUNICIPAL DE DESENVOLVIMENTO URBANO                                                 ;46.913,00
FUNDO MUNICIPAL DE HABITAÇÃO                                                              ;2.726.204,00
FUNDO MUNICIPAL PARA ATENDIMENTO DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE                 ;2.030.730,00
FUNDO ORÇAMENTÁRIO ESPECIAL DA PGM                                                        ;16.370.939,00
GABINETE DO PREFEITO                                                                      ;81.991.016,00
INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO                     ;230.960.453,00
INSTITUTO MUNICIPAL DE URBANISMO PEREIRA PASSOS                                           ;7.280.204,00
MULTIRIO - EMPRESA MUNICIPAL DE MULTIMEIOS LTDA.                                          ;23.397.135,00
PROCURADORIA GERAL DO MUNICÍPIO DO RIO DE JANEIRO - PGM                                   ;140.503.916,00
RESERVA DE CONTINGÊNCIA                                                                   ;17.559.631,00
RIOCENTRO S.A. - CENTRO DE FEIRAS, EXPOSIÇÕES E CONGRESSOS DO RIO DE JANEIRO              ;2.683.540,00
SECRETARIA ESPECIAL DE COMUNICAÇÃO SOCIAL                                                 ;1.375.919,00
